datetime,open,high,low,close,volume
2015-03-16 00:00,155.05,157.09,154.80,126.15,3749600.00
2015-03-17 00:00,156.20,157.29,155.37,126.05,3311700.00
2015-03-18 00:00,156.85,160.70,155.80,128.34,5738800.00
2015-03-19 00:00,159.70,160.92,158.81,128.34,3878600.00
2015-03-20 00:00,160.95,163.00,160.35,130.81,9006400.00
2015-03-23 00:00,162.77,165.35,162.73,132.21,5930100.00
2015-03-24 00:00,164.79,164.89,162.90,130.90,4346100.00
2015-03-25 00:00,163.08,163.08,159.20,127.85,5428900.00
2015-03-26 00:00,159.27,161.25,158.91,128.97,4396000.00
2015-03-27 00:00,160.79,160.90,159.23,128.82,3477900.00
2015-03-30 00:00,161.31,163.60,161.25,130.64,4138000.00
2015-03-31 00:00,161.08,162.33,160.40,128.90,4255400.00
2015-04-01 00:00,160.23,160.62,158.39,127.84,3700800.00
2015-04-02 00:00,159.52,162.54,158.89,128.86,4671600.00
2015-04-06 00:00,159.69,162.80,158.70,130.13,3465700.00
2015-04-07 00:00,161.67,163.84,161.62,130.16,3148000.00
2015-04-08 00:00,161.72,163.55,161.01,129.98,2524300.00
2015-04-09 00:00,161.70,162.47,160.72,130.37,2263500.00
2015-04-10 00:00,162.34,163.33,161.25,130.79,2515700.00
2015-04-13 00:00,162.37,164.00,162.36,130.41,3868900.00
2015-04-14 00:00,162.42,162.74,160.79,130.34,2719300.00
2015-04-15 00:00,162.63,164.96,162.50,131.81,3498800.00
2015-04-16 00:00,163.31,163.98,162.54,131.01,3136900.00
2015-04-17 00:00,161.75,161.86,160.03,129.03,4314400.00
2015-04-20 00:00,162.10,166.64,161.90,133.44,9609200.00
2015-04-21 00:00,166.07,167.38,164.05,131.91,9683600.00
2015-04-22 00:00,164.39,166.00,162.89,132.80,4024800.00
2015-04-23 00:00,165.23,171.91,165.14,136.72,8235600.00
2015-04-24 00:00,170.23,170.85,168.74,136.35,3888400.00
2015-04-27 00:00,170.89,171.49,170.30,137.11,3168600.00
2015-04-28 00:00,170.83,174.69,170.02,139.67,5816700.00
2015-04-29 00:00,173.40,175.13,172.80,140.06,4518400.00
2015-04-30 00:00,173.77,174.28,170.30,137.56,5062900.00
2015-05-01 00:00,173.20,174.00,172.42,139.47,3312100.00
2015-05-04 00:00,174.47,176.30,173.70,139.71,4028000.00
2015-05-05 00:00,173.51,174.23,171.96,139.00,3593600.00
2015-05-06 00:00,172.90,174.05,168.86,137.60,3612600.00
2015-05-07 00:00,169.63,171.98,169.04,139.42,2472000.00
2015-05-08 00:00,172.94,173.33,172.24,140.80,3092600.00
2015-05-11 00:00,172.65,172.99,170.86,139.53,2661000.00
2015-05-12 00:00,170.55,171.49,168.84,139.07,2962400.00
2015-05-13 00:00,171.24,172.74,170.75,140.48,2457500.00
2015-05-14 00:00,173.50,174.40,173.22,141.92,2439100.00
2015-05-15 00:00,173.91,174.41,172.60,141.28,2916600.00
2015-05-18 00:00,173.44,173.49,172.30,141.11,1970600.00
2015-05-19 00:00,172.97,173.75,171.93,141.46,2523000.00
2015-05-20 00:00,173.33,174.44,172.46,141.68,2300300.00
